metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_4,score_3,score_2,score_1
accuracy,4,4.22,False,0.22,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,0.78,,,
completeness,5,4.99,True,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,0.01,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,,
completeness,4,4.04,True,0.04,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,0.96,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,,
accuracy,5,4.78,False,0.78,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,0.22,,,
completeness,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
completeness,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
completeness,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
accuracy,3,3.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.01,0.98,0.01,
completeness,4,3.8,False,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.8,0.2,,
accuracy,3,3.12,False,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.12,0.88,,
completeness,4,4.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,1.0,,,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
accuracy,4,3.99,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.99,0.01,,
completeness,4,4.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,1.0,,,
accuracy,4,4.05,True,0.05,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,0.95,,,
completeness,2,2.38,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,0.38,0.62,
accuracy,3,2.82,False,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.82,0.18,
completeness,1,1.08,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,,0.08,0.92
accuracy,3,3.03,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,0.04,0.95,0.01,
completeness,5,5.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,,
