metric,score,weighted_score,is_confident,score_3,category,experiment,repository,scenario_id,model,score_5,score_4,score_2,score_1
completeness,3,3.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,,
accuracy,4,3.97,True,0.03,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,0.97,,
completeness,4,3.96,True,0.04,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,0.96,,
accuracy,3,3.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,,,
completeness,4,4.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,1.0,,
accuracy,4,4.01,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,0.01,0.99,,
completeness,4,3.99,True,0.01,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,0.99,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,4,4.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
accuracy,4,4.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,1.0,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,4.85,False,,GenerateReactApp,component_generation,,2,o3-mini,0.85,0.15,,
accuracy,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,4.9,False,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,0.9,0.1,,
accuracy,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,1.0,,,
completeness,4,4.18,False,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,0.18,0.82,,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,4.27,False,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,0.27,0.73,,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,1.0,,,
completeness,4,4.01,True,,GenerateBaseComponent,component_generation,,1,o3-mini,0.01,0.99,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,4,3.96,True,0.04,GenerateReactApp,component_generation,,2,o3-mini,,0.96,,
accuracy,4,4.01,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,0.01,0.99,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,4,4.22,False,,GenerateReactApp,component_generation,,2,o3-mini,0.22,0.78,,
completeness,4,4.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
accuracy,3,3.27,False,0.73,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,0.27,,
completeness,3,3.27,False,0.73,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,0.27,,
accuracy,3,3.0,True,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,,
completeness,3,3.0,True,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,,
accuracy,5,4.98,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,0.98,0.02,,
completeness,2,1.99,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,,0.99,0.01
accuracy,4,4.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,1.0,,
completeness,1,1.03,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,,0.03,0.97
accuracy,4,4.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,1.0,,
completeness,1,1.03,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,0.03,0.97
accuracy,4,4.05,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,0.05,0.95,,
completeness,1,1.12,False,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,,0.12,0.88
accuracy,3,2.98,True,0.98,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,0.02,
completeness,1,1.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,,1.0
accuracy,4,4.18,False,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,0.18,0.82,,
completeness,1,1.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,,,1.0
accuracy,2,2.1,False,0.1,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,,0.9,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,1.0,,,
completeness,4,4.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,1.0,,
accuracy,4,4.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,1.0,,
completeness,3,3.03,True,0.97,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,0.03,,
accuracy,3,3.03,True,0.97,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,0.03,,
completeness,2,2.38,False,0.38,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,,0.62,
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,1.0,,,
completeness,2,1.82,False,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,0.82,0.18
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,1.0,,,
completeness,3,2.98,True,0.98,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,,0.02,
accuracy,2,2.27,False,0.27,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,0.73,
completeness,2,2.0,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,1.0,
accuracy,2,2.38,False,0.38,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,,0.62,
completeness,2,2.0,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,,1.0,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,1.0,,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,1.0,,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,3.78,False,0.22,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,0.78,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,1.0,,,
completeness,4,3.95,True,0.05,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,0.95,,
accuracy,3,3.01,True,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,0.01,,
completeness,3,3.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,,
accuracy,3,2.97,True,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,,,
completeness,2,2.5,False,0.5,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,,0.5,
accuracy,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,4.22,False,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,0.22,0.78,,
accuracy,5,4.62,False,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,0.62,0.38,,
completeness,5,4.92,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,0.92,0.08,,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,4.15,False,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,0.15,0.85,,
accuracy,5,4.99,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,0.99,0.01,,
completeness,3,2.99,True,0.99,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,,0.01,
