metric,score,weighted_score,is_confident,score_4,category,experiment,repository,scenario_id,model,score_5,score_3,score_2,score_1
accuracy,2,2.02,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,0.02,0.98,
completeness,4,3.98,True,0.98,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,0.02,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,,
accuracy,3,3.12,False,0.12,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,0.88,,
completeness,4,4.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,,,
accuracy,4,4.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,,,
completeness,4,4.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,,,
accuracy,3,3.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,1.0,,
completeness,2,2.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,,1.0,
accuracy,4,4.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,,,
completeness,2,2.32,False,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,0.32,0.68,
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,1.0,,,
completeness,2,1.92,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,0.92,0.08
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,1.0,,,
completeness,2,1.95,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,,0.95,0.05
accuracy,4,4.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,,
completeness,4,4.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,,
accuracy,4,4.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,,,
completeness,4,3.99,True,0.99,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,0.01,,
accuracy,4,4.05,True,0.95,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,0.05,,,
completeness,4,3.96,True,0.96,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,0.04,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,1.0,,,
completeness,4,4.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,,,
accuracy,4,4.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,,
completeness,4,4.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,,
accuracy,4,4.02,True,0.98,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,0.02,,,
completeness,4,4.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,,,
accuracy,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,1.0,,,
completeness,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,1.0,,,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,1.0,,,
completeness,3,3.27,False,0.27,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,0.73,,
accuracy,4,4.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,,,
completeness,3,2.68,False,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,0.68,0.32,
