metric,score,weighted_score,is_confident,score_2,score_3,category,experiment,repository,scenario_id,model,score_1,score_5,score_4
completeness,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
accuracy,2,2.01,True,0.99,0.01,GenerateReactApp,component_generation,,2,o3-mini,,,
completeness,3,2.94,True,0.06,0.94,GenerateReactApp,component_generation,,2,o3-mini,,,
accuracy,1,1.5,False,0.5,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,0.5,,
completeness,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
accuracy,3,3.0,True,,1.0,GenerateReactApp,component_generation,,2,o3-mini,,,
completeness,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,o3-mini,,,
accuracy,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
completeness,2,2.01,True,0.99,0.01,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
accuracy,3,2.73,False,0.27,0.73,GenerateReactApp,component_generation,,2,o3-mini,,,
completeness,2,2.01,True,0.99,0.01,GenerateReactApp,component_generation,,2,o3-mini,,,
accuracy,5,5.0,True,,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,1.0,
completeness,4,4.0,True,,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,,1.0
accuracy,2,2.12,False,0.88,0.12,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,
completeness,4,4.01,True,,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,0.01,0.99
accuracy,4,4.0,True,,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,,1.0
completeness,2,2.0,True,1.0,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,,
accuracy,3,2.99,True,0.01,0.99,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,,
completeness,2,2.0,True,1.0,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,,
accuracy,5,4.99,True,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,0.99,0.01
completeness,1,1.0,True,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,1.0,,
accuracy,3,3.1,False,,0.9,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,,0.1
completeness,1,1.0,True,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,1.0,,
accuracy,1,1.32,False,0.32,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,0.68,,
completeness,4,4.0,True,,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,1.0
accuracy,5,5.0,True,,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,1.0,
completeness,4,3.56,False,,0.44,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,,0.56
accuracy,3,2.98,True,0.02,0.98,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,,
completeness,3,3.0,True,,1.0,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,,
accuracy,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,
completeness,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,
accuracy,3,2.98,True,0.02,0.98,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,1.0,
accuracy,3,2.98,True,0.02,0.98,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,,
completeness,4,4.01,True,,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,0.01,0.99
accuracy,2,2.0,True,1.0,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,,
completeness,2,1.62,False,0.62,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,0.38,,
accuracy,2,2.27,False,0.73,0.27,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,,
completeness,3,2.92,True,0.08,0.92,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,,
accuracy,5,5.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,1.0,
completeness,2,2.0,True,1.0,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,
accuracy,5,5.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,1.0,
completeness,1,1.01,True,0.01,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,0.99,,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,1.0,
completeness,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,1.0,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,1.0,
completeness,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,1.0,
accuracy,4,4.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,,1.0
completeness,3,3.0,True,,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,,
accuracy,4,4.03,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,0.03,0.97
completeness,3,3.44,False,,0.56,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,,0.44
accuracy,3,3.27,False,,0.73,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,0.27
completeness,3,3.5,False,,0.5,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,0.5
accuracy,4,4.5,False,,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,0.5,0.5
completeness,4,4.02,True,,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,0.02,0.98
accuracy,5,4.99,True,,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,0.99,0.01
completeness,4,4.0,True,,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,,1.0
accuracy,3,3.22,False,,0.78,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,,0.22
completeness,4,4.0,True,,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,,1.0
accuracy,2,2.5,False,0.5,0.5,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,,
completeness,2,2.0,True,1.0,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,,
accuracy,3,3.0,True,,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,,
completeness,2,2.32,False,0.68,0.32,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,,
